"ID","game_date","team_abb_home","team_abb_away","pts_home","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","dreb_home","oreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_2nd_chance_home","pts_in_paint_home","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","pts_2nd_chance_away","ft_pct_away","pts_paint_away","wl_home","game_id"
"[411826,659807307]","","NYK","ORL",115,43,93,0.462,11,37,0.297,18,25,0.297,32,18,50,24,7,3,14,24,,,36,86,0.72,7,35,0.2,23,27,13,28,41,14,6,4,13,23,102,,0.2,,"w",11095
"[411826,659807309]","","CHI","BOS",120,42,87,0.483,10,21,0.47600000000000003,26,29,0.47600000000000003,46,14,60,29,4,6,14,18,,,37,100,0.897,18,48,0.375,10,12,14,31,45,26,5,7,11,24,102,,0.375,,"w",11096
"[411826,659807311]","","HOU","UTA",114,38,90,0.42200000000000004,11,35,0.314,27,32,0.314,30,17,47,17,7,7,16,20,,,44,93,0.8440000000000001,11,32,0.344,9,16,18,31,49,23,8,10,20,27,108,,0.344,,"w",11097
"[411826,659807314]","","MEM","BKN",134,47,94,0.5,16,34,0.47100000000000003,24,31,0.47100000000000003,26,12,38,21,7,3,9,22,,,47,87,0.774,9,29,0.31,21,26,9,26,35,27,4,7,11,30,124,,0.31,,"w",11098
"[411826,659807316]","","MIN","SAS",106,38,86,0.442,8,31,0.258,22,24,0.258,40,10,50,24,7,5,16,18,,,48,105,0.917,12,37,0.324,7,13,14,36,50,37,11,0,13,21,115,,0.324,,"l",11099
"[411826,659807317]","","POR","DEN",135,48,83,0.578,16,35,0.457,23,31,0.457,36,9,45,23,3,6,10,15,,,45,91,0.742,12,31,0.387,8,14,10,28,38,28,4,1,8,28,110,,0.387,,"w",11100
"[411826,659807321]","","WAS","DET",120,44,85,0.518,10,33,0.303,22,26,0.303,38,9,47,26,7,7,12,21,,,36,88,0.846,8,28,0.28600000000000003,19,25,11,30,41,12,6,1,13,26,99,,0.28600000000000003,,"w",11101
"[411826,659807323]","","NOP","DAL",113,44,76,0.579,12,27,0.444,13,18,0.444,22,4,26,25,7,3,14,21,,,41,82,0.722,12,39,0.308,17,24,11,26,37,18,8,5,12,16,111,,0.308,,"w",11102
"[411826,659807325]","","OKC","LAC",108,42,110,0.382,4,30,0.133,20,25,0.133,39,21,60,19,12,8,6,13,,,35,83,0.8,10,31,0.32299999999999995,14,18,7,40,47,21,5,14,19,18,94,,0.32299999999999995,,"w",11103
"[411826,659807326]","","PHX","GSW",134,47,92,0.511,12,29,0.414,28,34,0.414,34,14,48,31,8,4,14,19,,,41,91,0.8240000000000001,10,35,0.28600000000000003,13,17,10,30,40,28,7,7,16,28,105,,0.28600000000000003,,"w",11104
"[411826,659807328]","","CLE","ORL",103,36,87,0.414,10,33,0.303,21,30,0.303,31,12,43,25,6,3,13,22,,,35,81,0.7,6,24,0.25,16,21,10,33,43,19,6,6,17,29,92,,0.25,,"w",11105
"[411826,659807331]","","DET","ATL",113,42,91,0.462,14,32,0.43799999999999994,15,22,0.43799999999999994,30,10,40,23,4,6,14,25,,,45,91,0.682,8,22,0.364,20,25,10,36,46,22,6,12,12,20,118,,0.364,,"l",11106
"[411826,659807333]","","NYK","CHA",134,52,97,0.536,11,30,0.36700000000000005,19,22,0.36700000000000005,34,12,46,26,5,11,16,24,,,49,99,0.8640000000000001,13,31,0.419,20,30,9,33,42,31,9,5,15,24,131,,0.419,,"w",11107
"[411826,659807336]","","TOR","PHI",119,46,84,0.5479999999999999,16,37,0.43200000000000005,11,14,0.43200000000000005,33,6,39,32,9,5,9,21,,,40,79,0.7859999999999999,16,36,0.444,13,19,4,30,34,29,6,2,13,12,109,,0.444,,"w",11108
"[411826,659807339]","","MIL","BKN",110,39,88,0.44299999999999995,10,36,0.278,22,29,0.278,40,14,54,21,8,12,19,22,,,34,86,0.759,7,27,0.259,24,30,7,30,37,23,7,6,14,24,99,,0.259,,"w",11109
"[411826,659807341]","","CHI","IND",124,43,87,0.494,16,30,0.5329999999999999,22,24,0.5329999999999999,35,9,44,34,10,5,18,25,,,37,86,0.917,16,40,0.4,19,24,6,32,38,31,5,12,20,18,109,,0.4,,"w",11110
"[411826,659807344]","","MIN","SAS",134,52,80,0.65,20,34,0.588,10,16,0.588,30,0,30,37,9,6,17,19,,,43,95,0.625,16,36,0.444,20,22,14,27,41,34,6,2,16,18,122,,0.444,,"w",11111
"[411826,659807347]","","UTA","HOU",109,38,90,0.42200000000000004,13,45,0.289,20,30,0.289,42,11,53,28,11,5,16,28,,,36,94,0.667,11,40,0.275,18,24,14,35,49,19,7,2,19,30,101,,0.275,,"w",11112
"[411826,659807350]","","DEN","LAL",110,42,92,0.457,9,34,0.265,17,21,0.265,45,9,54,34,12,5,11,17,,,40,90,0.81,8,30,0.267,11,16,7,40,47,25,8,4,14,16,99,,0.267,,"w",11113
"[411826,659807353]","","POR","MIA",98,34,78,0.436,12,37,0.324,18,26,0.324,27,11,38,20,9,4,19,17,,,44,87,0.6920000000000001,15,38,0.395,16,19,15,31,46,34,13,2,18,22,119,,0.395,,"l",11114
